標題,連結,時間
Aliens.gov網站揭牌 鼓勵民眾檢舉疑似「外星人」鄰居？,https://www.chinatimes.com/realtimenews/20260529002107-260408,2026/05/29
川普的西太平洋考驗：美盟友緊盯140億對台軍售 學者評3劇本,https://www.chinatimes.com/realtimenews/20260529001980-260408,2026/05/29
趕期中選舉前結束伊朗戰爭 川普恐撕裂共和黨,https://www.chinatimes.com/realtimenews/20260529001253-260408,2026/05/29
阿曼保證不收荷莫茲通行費 美財長重申川普對伊3要求,https://www.chinatimes.com/realtimenews/20260529001317-260408,2026/05/29
快訊》美伊擬延長停火60天重啟核談判  只差川普點頭,https://www.chinatimes.com/realtimenews/20260529000914-260408,2026/05/29
世界盃倒數！伊波拉威脅逼近 美加墨公告入境防疫措施,https://www.chinatimes.com/realtimenews/20260528005267-260408,2026/05/28
聯合國警告：2030年前全球幾乎必然面臨史上最熱一年,https://www.chinatimes.com/realtimenews/20260528005061-260408,2026/05/28
扭傷先別急著冰敷？研究發現可能影響傷勢恢復,https://www.chinatimes.com/realtimenews/20260528004949-260408,2026/05/28
印簽名還不夠 川普想在250美金紙鈔上印自己肖像,https://www.chinatimes.com/realtimenews/20260528004896-260408,2026/05/28
揭平壤已具現代城市面貌 星外長：北韓無意與韓美日接觸,https://www.chinatimes.com/realtimenews/20260528004879-260408,2026/05/28
古巴政權最快今夏崩潰？美媒揭川普日益加劇施壓,https://www.chinatimes.com/realtimenews/20260528004648-260408,2026/05/28
日本JAXA與波音合作「低音爆」超音速客機 風洞測試影曝光,https://www.chinatimes.com/realtimenews/20260528004924-260408,2026/05/28
超扯！美警截停指控「右手拿手機」開罰　女駕駛：我根本沒右手,https://www.chinatimes.com/realtimenews/20260528004808-260408,2026/05/28
澳洲政府對3M提告　控PFAS化學消防泡沫污染國防基地 ,https://www.chinatimes.com/realtimenews/20260528004857-260408,2026/05/28
日菲關係升格「全面戰略夥伴」！啟動情報共享與軍備轉移談判,https://www.chinatimes.com/realtimenews/20260528004763-260408,2026/05/28
匈牙利新政府推翻奧班政策 停止退出國際刑事法院,https://www.chinatimes.com/realtimenews/20260528004678-260408,2026/05/28
大陸出現「平價版黃仁勳」？東北青年模仿爆紅,https://www.chinatimes.com/realtimenews/20260528004398-260408,2026/05/28
6名青年就有1人失業失學？英「尼特族」恐暴增至125萬人,https://www.chinatimes.com/realtimenews/20260528004327-260408,2026/05/28
日本最高規格迎菲總統！日媒：台海有事成日菲共同考量,https://www.chinatimes.com/realtimenews/20260528004264-260408,2026/05/28
澤倫斯基向川普急求救命武器　擬向歐盟貸款3.3兆元　,https://www.chinatimes.com/realtimenews/20260528003546-260408,2026/05/28
別再迷信超級食物「真正長壽吃法」曝 一日三餐這樣搭配最關鍵,https://www.chinatimes.com/realtimenews/20260528003284-260408,2026/05/28
不受伊戰影響 攻古巴航母待命 川普恐掀第三場衝突,https://www.chinatimes.com/realtimenews/20260528002702-260408,2026/05/28
快訊》美伊互襲波灣緊張升溫 科威特防空系統攔截敵對攻擊,https://www.chinatimes.com/realtimenews/20260528002495-260408,2026/05/28
英智庫：台灣對北京具戰略利益 美中若因此爆發衝突恐導致核升溫,https://www.chinatimes.com/realtimenews/20260528002175-260408,2026/05/28
孟加拉政府出手援救 「川普」逃死劫 死對頭伊朗回應了,https://www.chinatimes.com/realtimenews/20260528002197-260408,2026/05/28
快訊》伊朗反擊了！打擊美國空軍基地,https://www.chinatimes.com/realtimenews/20260528002255-260408,2026/05/28
航班取消別只乾等「搶位黃金時間」做錯恐卡機場一整晚,https://www.chinatimes.com/realtimenews/20260528001948-260408,2026/05/28
英最大情報機構：侵烏俄軍近50萬人戰死  普丁「正在節節敗退」,https://www.chinatimes.com/realtimenews/20260528001744-260408,2026/05/28
